text,label
"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
 Kalo nya ini tuh salah,lalu yg benar kek gimana ?
 Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭
 
 #VaksinUntukNegeri 
 #Vaksin https://t.co/3IstDjGKD9",1
"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?
 
 https://t.co/JYMPlihz77
 
 #vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips",1
"ini anak siapa sih.
 
 justru di saudi, mentri kesehatannya yg pertama kali di vaksin.
 
 #Aagym #VaksinCOVID19 https://t.co/IUoeAnkJgo https://t.co/XW5vCVr1TU",1
"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?
 
 https://t.co/JYMPlihz77
 
 #vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #JaPenSabah 
 #KomunikasiKita
 #VaksinCovid19 
 #JabatanPenerangan https://t.co/SBU1Xzfw69",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
 -
 #vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx",1
"Kalau karena #Corona merasa tidak takut?
 
 Mengapa harus takut #Vaksin 
 
 Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 
 
 #VaksinUntukNegeri 
 #vaksinuntukkita",1
"Vaksinasi Covid Jadi 'Spirit' Kebangkitan Ekonomi Lamsel
 https://t.co/xbT8QUAZ2d
 
 #beritakitacoid #sobatkita #Lampung #Lampungselatan #Lamsel #VaksinCOVID19 #Vaksin #vaksinuntukkita #VaksinUntukNegeri #vaksingratisutkrakyat #vaksindatangtetapjaga3m #Covid_19 #EkonomiIndonesia https://t.co/2JtQW6rIc1",1
"Lihat berita hari ini dari CNN Indonesia, Amerika Serikat berencana akan melakukan vaksinasi di minggu ke dua. Kita sama-sama doain semoga lancar ya prosesnya. 
 #VaksinUntukKita https://t.co/EoxKydBKaN",1
"Kalau menurut kamu, apakah vaksin merupakan solusi paling tepat untuk wabah covid-19 di Indonesia?
 .
 #vaksin #sinovac #tobaai #widyaanalytic #covid19 #pandemi #indonesia #dataanalytic #data #bigdata https://t.co/9lqjfiqhJR",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Kalau karena #Corona merasa tidak takut?
 
 Mengapa harus takut #Vaksin 
 
 Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 
 
 #VaksinUntukNegeri 
 #vaksinuntukkita",1
"Kalau karena #Corona merasa tidak takut?
 
 Mengapa harus takut #Vaksin 
 
 Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 
 
 #VaksinUntukNegeri 
 #vaksinuntukkita",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Ketegasan Presiden #Jokowi terhadap polemik tersebut merupakan upaya negara dalam mengakomodasi aspirasi masyarakat, termasuk dalam mengadakan #vaksin #gratis
 
 https://t.co/56GB2LdIq5",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Malam Perseners!
 
 Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
 Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
 https://t.co/BrWjU65xGX
 
 #Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Minggu ini ada berita yang kita tunggu-tunggu nih! Apa aja ya kira-kira? Selengkapnya di Berita Baru Vaksin ya!
 
 #VaksinUntukKita https://t.co/j9kCoNTniP",1
"Malam Perseners!
 
 Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
 Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
 https://t.co/BrWjU65xGX
 
 #Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN",1
"@JPenerangan RT @JPenerangan: COVID-19 boleh dicegah menggunakan vaksin. 
 
 Beginilah cara vaksin berfungsi dalam badan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan
 #sodiakroks https://t.co/Tpd4nF29nq",1
"COVID-19 boleh dicegah menggunakan vaksin. 
 
 Beginilah cara vaksin berfungsi dalam badan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/wlLG5ERx2o",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Kalian pasti semenjak pandemi jadi sering mendengar kata-kata herd immunity gaksiii? Nah vaksinasi sendiri merupakan cara paling aman untuk mendapatkan kekebalan banyak orang sekaligus. 
 #VaksinUntukKita https://t.co/c5qLg83KiV",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
 -
 #vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx",1
"Sekarang, ke catatan inti. 
 
 Rabu lalu, Presiden Jokowi mengumumkan bahwa #VaksinCOVID19 akan diberikan secara gratis kepada masyarakat Indonesia. 
 
 https://t.co/FuaLL2vmOd",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Prof. Zubairi Djoerban selaku Ketua Satgas Covid-19 Ikatan Dokter Indonesia menjelaskan bahwa Ikatan Dokter Indonesia (IDI) akan mendukung vaksinasi setelah EUA keluar. 
 #VaksinUntukKita https://t.co/DnPi1qgoYY",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.
 
 #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua
 
 Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",1
"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
 #VaksinUntukKita https://t.co/Lij4qGKILa",1
"Bersama YBhg. Prof. Datuk Dr. Lokman Hakim Sulaiman FACs, Felo @akademisains bagi membicarakan topik mengenai Vaksin Dalam Kehidupan.
 
 Jam 10.30 pagi, pada Isnin, 21 Disember 2020. Dengarkannya di @nasionalfm_my atau ikuti melalui https://t.co/QJy5grtvgy
 
 .
 #mosti
 #STIE
 #vaksin https://t.co/iGrLerXJeh",1
"Bersama YBhg. Prof. Datuk Dr. Lokman Hakim Sulaiman FACs, Felo @akademisains bagi membicarakan topik mengenai Vaksin Dalam Kehidupan.
 
 Jam 10.30 pagi, pada Isnin, 21 Disember 2020. Dengarkannya di @nasionalfm_my atau ikuti melalui https://t.co/QJy5grtvgy
 
 .
 #mosti
 #STIE
 #vaksin https://t.co/iGrLerXJeh",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Ada golongan yg terus menggunakan absurditas utk memgkritik, soal vaksin. Malas belajar, malas baca...tapi nyalak nyaring 😄 @PretiWn @SunandarPS @PEDOMAN_id #vaksinuntukkita https://t.co/37pVMhaA4k",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan 
 #PerlisMaju https://t.co/4WGzhfTyBY",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin.Baca selengkapnya di https://t.co/5ZApiqHGq2
 
 Sumber: @vivacoid
 ------------------
 #NewsOne #VaksinCovid19 #VaksinSinovac #PresidenJokoWidodo #MarufAmin #FahriHamzah https://t.co/xyPtcgWXeB",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan 
 #PerlisMaju https://t.co/4WGzhfTyBY",1
"Nah siapa nih yang udah kangen beraktivitas? Semoga dengan adanya vaksin bisa ngebantu untuk memutus penyebaran virus covid-19 ya, supaya kita semua bisa cepat-cepat kembali melakukan kegiatan yang udah lama ga dilakukan :) 
 
 #VaksinUntukKita https://t.co/Rl54zbhuP8",1
"@JPenerangan RT @JPenerangan: Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan
 #sodiakroks https://t.co/10SOzB5p7K",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Nah faktor lain yang mempengaruhi pandemi seperti efektifitas vaksin, durasi perkembangan vaksin, dan jumlah orang yang divaksinasi juga berperan nih bun dengan kapan selesainya pandemi. 
 #VaksinUntukKita https://t.co/lGfnAuUVZ5",1
Hukum imunisasi. #UAS #Jokowi #Prabowo #Vaksin #imunisasi #haji2018 #netizenbudiman #netizenmahabenar #netizen #netizenindonesia #politik #asiangames2018 #jakartapalembang #indonesia https://t.co/Be0yN7ZcrA,1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin.Baca selengkapnya di https://t.co/5ZApiqHGq2
 
 Sumber: @vivacoid
 ------------------
 #NewsOne #VaksinCovid19 #VaksinSinovac #PresidenJokoWidodo #MarufAmin #FahriHamzah https://t.co/xyPtcgWXeB",1
"Peru Stop Uji Coba Klinis Vaksin Produk Tiongkok, Setelah Relawan Divaksin Alami Gangguan Neurologis
 
 Nonton video selengkapnya di: https://t.co/Dz4or4R9Z9
 
 #UjiKlinis #Vaksin #Neurologis https://t.co/YZAhBot85p",1
"Minggu ini ada berita yang kita tunggu-tunggu nih! Apa aja ya kira-kira? Selengkapnya di Berita Baru Vaksin ya!
 
 #VaksinUntukKita https://t.co/j9kCoNTniP",1
"Badan POM bakal mengawal vaksin Covid-19 sebelum bahkan sesudah proses vaksinasi loh! 
 
 #VaksinUntukKita https://t.co/gPp1JcV3t6",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin.Baca selengkapnya di https://t.co/5ZApiqHGq2
 
 Sumber: @vivacoid
 ------------------
 #NewsOne #VaksinCovid19 #VaksinSinovac #PresidenJokoWidodo #MarufAmin #FahriHamzah https://t.co/xyPtcgWXeB",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
Ini penegasan Presiden #Jokowi terkait #VaksinCovid19 sebelum disuntikkan kepada masyarakat https://t.co/sTpO6x8NfG via @weebly,1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #JaPenSabah 
 #KomunikasiKita
 #VaksinCovid19 
 #JabatanPenerangan https://t.co/SBU1Xzfw69",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/NxsjcMcPZZ",1
"Sinovac Dilempar ke Indonesia, China Pilih Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/F7U813zAyh #vaksin #BukanBeritaBiasa",1
"@JPenerangan RT @JPenerangan: Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan
 #sodiakroks https://t.co/10SOzB5p7K",1
@KakekHalal @Fahrihamzah @aniesbaswedan @hnurwahid @sudjiwotedjo_ @LisaAmartatara3 @RestyResseh Jadi situ ga percaya sama keputusan pak pres Joko Wi dong......kalo percaya pasti milih orang2 terkasihnya #VaksinCOVID19,1
"Pada April 2020 lalu, #Jerman berhasil bekerja sama dengan #AsianDevelopmentBank (#ADB) dalam membangun program COVID-19 Active Response and Expenditure Support (#CARES)
 
 #Covid_19 #vaksinuntukkita #vaksincorona",1
"Badan POM bakal mengawal vaksin Covid-19 sebelum bahkan sesudah proses vaksinasi loh! 
 
 #VaksinUntukKita https://t.co/gPp1JcV3t6",1
"Gak jadi demo vaksin gratis, dijogeti aja, nanti malam jam 20:00 di channel Youtube @killthedj (Kill the TV)
 
 Jangan lupa goyangya tetap jaga jarak, pake masker dan cuci tangan.
 
 Saling jaga cegah corona !!!
 
 #kopadkopid
 #vaksingratis
 #vaksinuntukkita
 #kewerkewer
 #libertaria https://t.co/bI4jXEPMKE",1
"Dr. Ede Surya Darmawan SKM, MDM menyampaikan protokol kehidupan bersih dan sehat perlu dijalankan bahkan setelah pandemi berakhir. 
 
 #VaksinUntukKita https://t.co/1hH2u9jECH",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #JaPenSabah 
 #KomunikasiKita
 #VaksinCovid19 
 #JabatanPenerangan https://t.co/SBU1Xzfw69",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Sinovac Dilempar ke Indonesia, China Pilih Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/F7U813zAyh #vaksin #BukanBeritaBiasa",1
"Sinovac Dilempar ke Indonesia, China Pilih Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/F7U813zAyh #vaksin #BukanBeritaBiasa",1
"Sinovac Dilempar ke Indonesia, China Pilih Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/F7U813zAyh #vaksin #BukanBeritaBiasa",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"Sinovac Dilempar ke Indonesia, China Pilih Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/F7U813zAyh #vaksin #BukanBeritaBiasa",1
"Sekarang kita mau mengonsumsinya? Bagaimana nasib ""Tenaga Medis"" n'tar?!!
 
 #Vaksin #Sinovac #VaksinCOVID19 
 #IndonesiaHumanRightsSOS https://t.co/yLexnjBTPa",1
"Parlimen: Senarai Keutamaan Penerima Vaksin COVID-19 Akan Diumum Masa Terdekat.
 
 https://t.co/Hz8eZTgkCH
 
 #COVID19 
 #vaksinCOVID19 
 #KitaTeguhKitaMenang 
 #japenselangor",1
"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 
 
 Sayangi kesihatan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan #japenselangor https://t.co/yGtAoC4sb3",1
"Semua vaksin adalah dijamin selamat dan efektif. 
 
 #KomunikasiKita
 #VaksinCovid19 
 #JabatanPenerangan
 #japenselangor https://t.co/UM6Ry1ex4e",1
"Sinovac Dibeli Indonesia, China Borong Vaksin COVID-19 Buatan Jerman dan Inggris https://t.co/HIjzLFPbyr #Vaksin #BukanBeritaBiasa",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/2f18p5aqmJ",1
"COVID-19 boleh dicegah menggunakan vaksin. 
 
 Beginilah cara vaksin berfungsi dalam badan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/wlLG5ERx2o",1
"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 
 
 Sayangi kesihatan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/VbLmW1fgOc",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
 -
 #vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"COVID-19 boleh dicegah menggunakan vaksin. 
 
 Beginilah cara vaksin berfungsi dalam badan kita!
 
 #KomunikasiKita
 #VaksinCOVID19 
 #JabatanPenerangan https://t.co/wlLG5ERx2o",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"Gak jadi demo vaksin gratis, dijogeti aja, nanti malam jam 20:00 di channel Youtube @killthedj (Kill the TV)
 
 Jangan lupa goyangya tetap jaga jarak, pake masker dan cuci tangan.
 
 Saling jaga cegah corona !!!
 
 #kopadkopid
 #vaksingratis
 #vaksinuntukkita
 #kewerkewer
 #libertaria https://t.co/bI4jXEPMKE",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #JaPenSabah 
 #KomunikasiKita
 #VaksinCovid19 
 #JabatanPenerangan https://t.co/SBU1Xzfw69",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Kerugian masyarakat akibat pandemi COVID-19 sangat besar. Ini dilihat dari beberapa aspek. Mulai dari kehilangan pekerjaaan dan sumber penghasilan. Dengan beban pembiayaan vaksinasi Corona ditanggung Pemerintah, ini merupakan langkah solutif. 
 #AzisSyamsuddin #vaksinuntukkita https://t.co/VdhVANpuRs",1
"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 
 
 #VaksinUntukKita https://t.co/aFgSEhKd4H",1
"Lindungi orang yang kita sayang dengan vaksin.
 
 #KomunikasiKita
 #VaksinCOVID19 https://t.co/1mUFNW7O4K",1
"Kalo nanti harus banget pergi, protokol 3Mnya harus tetep jalan selagi kita menunggu vaksinnya bisa digunakan. Sabar sedikit lagi yaaa, pasti kita semua bisa kok melewati masa-masa seperti ini!
 
 #VaksinUntukKita",1
"Yuk kita sama-sama ingatkan keluarga, teman-teman, dan orang-orang sekitar kita untuk liburan #DirumahAja dalam upaya melindungi satu sama lain biar kita terhindar dari Covid-19! 
 
 #VaksinUntukKita https://t.co/K6hpaBGm51",1
"Sebentar lagi tanggal merah nih ges! Jelang akhir tahun dengan banyaknya waktu luang, ini bisa mempengaruhi kenaikan tingkat kerumunan di masa pandemi ini.
 
 #VaksinUntukKita https://t.co/UNOpJrj0h5",1
