text;sentiment
 kalau minta uang ibu ya buat beli kuota untuk sekolah online aja sama buat bayar lks sekolah aku masih punya adek dan adekku udah mau masuk smp orang tua ku bilang kalau ngga bisa bantu banyak kalau kuliah nanti karena adekku udah besar dan bapak ibuku udah tua ;negative
 ya ampun keren betul good luck ya lumayan nih wkwk tadi pagi sekolah online kayak biasa trus dilanjut nangisin mapel wkwk sedikit menyedihkan but okelah;positive
 ortu yg stress krn sekolah online cuma yang anaknya masih kecil wkwk kalau ada anak yg abg ya pasti disuruh ngurus keribetan sekolah online ade nya ;negative
gue juga klau sekolah online masih kurang paham ama materinya ;negative
 nah iya takutnya gitu kemarin soalnya kakel beneran ada prakteknya terus ini sekolah nya online gimana dong ;negative
kasian orang tua sekarang anak nya mau ga mau sekolah online jadi terpaksa menyediakan hp khusus untuk anaknya klo keluarga menengah ke bawah kan pusing ya blm buat paket datanya ;negative
aku tau kamu banyak tugas aku tau kamu banyak masalah aku tau kamu benci sekolah online aku tau kamu banyak beban tpi itu ga sebanding sama beban dan masalah orang tuamu jdi jangan ngeluh ya anjing ;positive
 bisa dikirim ke rumah bisa juga difoto scan gitu a kan skrng sekolah online jadi biasanya gurunya cuman minta fotonya aja ;positive
drama sekolah online lagi lagi kerjakan tugas disuruh ini itu pas dijawab lagi belajar dibilang belajar mulu gak selesai selesai alasan mulu pasti main hp kerjaannya begadang liatin hp muluu semuanya dilontarkan oleh orang tua ku ingin ku teriakkkk ;negative
 setiap kebijakan hendaklah dipikirkan resikonya dr segala aspek inilah salah satu resiko belajar online yg harus benar ada ;positive
 biasanya selalu nabung kak berhubung lagi sekolah online jadi gabis nabung hiks;negative
sekolah online itu berat di kuotanya;negative
 masamaa oh iya jangan lupa pakai app belajar online ngebantu banget especially untuk nilai sekolah utbk mangat dikk;positive
 ketahuilah pak kami anak sekolah terbebani dengan adanya sekolah online ini kami belum merdeka ;negative
anak sekolah online butuh hp butuh waifi pemerentah pusat dan daerah mestinya memperhatikan waifi gratis angaran khan banyak apalagi resapan anggaran belum dibelanjakan subsidi silang buat waifi gratis ;negative
 kel kuningan barat mampang prapatan jaksel menyediakan akses wifi utk siswa siswi sekolah yg kesulitan mengakses inter ;positive
 gak mau sekolah online maunya sekolah biasa hft ;negative
 intinya capek sekolah online ;negative
 sekolah online membuat ku bangkrut ;negative
lebih cape sekolah online dah yg cape tu mata otak klo offline fisik doang otak ga begitu kepikiran anjr ;negative
gw melihat status wa temen gw pada ngeluh sekolah online mau yg pintar sampe yg ga pernah masuk dalam kelas daring udah jenuh weiii belajar tapi gada yg masuk ke otak ;negative
sekolah pendidikan negara harus dikelola secara online kayanya biar clear ;positive
 pokoknya kalo misal masuk gua gak mau gua kuat deh sekolah online asal guru tuh ngasih tugas sewajarnya dan ses ;negative
ga kuat sekolah online;negative
tuh kan kan sudah ku kata lebih enak sekolah online ;positive
 mauu saldo ovo buat beli kuota internet untuk sekolah online wish me luck ;positive
adeknya yg sekolah online kakaknya yang pusing;negative
kemarin baca di facebook ibuk ngeluh krn sekolah online membingungkan beliau yang cuma lulusan smp dan buruh tani rela utang juragannya buat beli hp utk anaknya ;negative
 ooo jawa timur disini udah sekolah kok tapi online semoga cepet membaik ya di tulungagung semoga bisa cepet masuk sekolah kek biasa ;positive
 hikmah dari sekolah online mesti bener persiapan jd ibu yg baik melek teknologi dan cerdas kenapa karena pendidikan penting untuk anak ;positive
gasuka sekolah online ;negative
sekolah mau online offline sm aja kurang efektif but both have a point i guess ;negative
 mari beukar peran dengan orang orang dipedalaman sana orang rakyat menengah kebawah biar ngerasain aja gimana beratnya sekolah online untuk mereka;negative
 nihh aku jawab dengan dampak negatif yang dijelaskan pak menteri jika anak tetap sekolah online aku rasa semua orgtua yang baca begini akan berpikir yg sama dengan pak menteri tapii melupakan keselamatan jiwa lebih utama dari sekedar dampak negatif dibawah ini ;positive
gue benci sekolah online ;negative
 kalian selama sekolah online suka tiba pusing trus penglihatan ngeblur ga sih ;negative
 karna masuk sekolah juga gak memungkinkan ini udah paling bener murid bisa aman terus gak terbebani sama pelajaran ka ;positive
karna masuk sekolah juga gak memungkinkan ini udah paling bener murid bisa aman terus gak terbebani sama pelajaran karna online class kaya gini murid murid tuh gak berasa dapet ilmu tapi dituntut buat dapet nilai aja ;positive
sekolah di medan belum bisa belikan paket internet untuk siswa belajar online ;negative
 sekolah kuliah offline sj hasilkn generasi spt skr yg rata g siap hadapi tantangan hidup palagi online ;negative
semenjak mulai sekolah online gua ketinggalan berita mulu ;negative
yaallah cape banget sekolah online mau nikah aja;negative
akibat sekolah online pusing mikirin materi yang biasanya seminggu itu jp peemuan ini seminggu jp peemuan tapi materi yang harus disampaikan buanyak kasian siswa pasti pusing tapi kalau ngga tersampaikan bingung juga ;negative
;
 susah bener dibilangi sok an nya ituloh yg ga kuat pandemi sekolah online setahun ga akan membuat anak bodoh kalau ortunya ga lebay berat dikit ngomelnya sekelurahan kalau memang ga mau susah jgn punya anak;negative
 aaaa sama mangkanya aku seneng kalo sekolah online karna walaupun gak ada temen ya gak masalah thankyortuu yaa semangat juga ;positive
tak semua orang tua mampu menyediakan kuota internet untuk anaknya belajar online menyikapi hal tersebut sejumlah warga kompleks dki pondok kelapa mendirikan tenda dan fasilitas internet agar anak anak sekitar bisa mengikuti pembelajaran dari sekolah masing masing pjj ;positive
gimana tidak hancur generasi anak bangsa pantesan sekolah suruh lewat online tidak taunya begini toh ;negative
tak terurus akibat belajar online gedung sekolah ini dipenuhi jangkrik cari berita lain klik disini ;negative
sekolah online bikin encok beneran deh pegel banget;negative
sekolah online guru makin sesuka hati ngasih tugas ;negative
positif sekolah online bisa melampiaskan emosi sekeras mungkin;positive
merasa bodoh banget gara gara sekolah online ;negative
ponakan yang sekolah daring aku yang pusing sepupu yang punya tugas online aku yang ngerjain ponakan punya tugas yang gak tau gimana ngerjainnya aku yang di gupekin buat ngerjain seribet ini tumbuh lebih besar duluan ;negative
pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline bakalan te p trus mengikuti protokol kesehatan yg telah di tetapkan gubernur jawa timur ;positive
dg adanya pembelajaran secara sistem daring online atau luring offline masing masing sekolah bakalan menyiapkan jadwal secara cermat kpn siswa yg dapet hadir belajar ke sekolah atau siswa yg belajar di rumah gubernur jatim ;positive
sekolah online hanya untuk menuntut tugas bukan menuntut ilmu;negative
pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline akan tetap terus mengikuti protokol kesehatan yang telah di tetapkan gubernur jawa timur ;positive
sekolah online susah ya capek pikiran ;negative
capek sekolah online karena banyak tugas tapi kalo sekolah tatap muka ntar suruh ngumpulin tugas ;positive
dengan adanya pembelajaran secara sistem daring online atau luring offline masing masing sekolah akan menyiapkan jadwal secara cermat kapan siswa yang dapat hadir belajar ke sekolah atau siswa yang belajar di rumah gubernur jatim ;positive
adanya metode dalam uji coba pembelajaran yang telah di terapkan ini menjadi pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline khofifah indar parawansa ;positive
 sekolah online bikin gw pengen nangis everyday;negative
bosen gue sekolah online tugas nya ga sebanding malah dilebih lebihin ;negative
saatnya rest mau sekolah online duluuu;
sekolah online kurang efektif kalo cuman dikasih tugas tanpa dijelasin sm gurunya apalagi buat pelajaran yang ada hitung annya;negative
sekolah online hebat ya penjilat makin keliatan berkeliaran di jaringan ;negative
 belum aja lu rasain ngurus anak sekolah online mau gilaaaaaaa belum aja lu ngerasain ah sudahlah ;negative
kalian ngerasa ga si kalo semakin kesini sekolah online semakin wah gitu guru udah ga bisa kasih keringanan tugas untuk mata pljrn ga cuma sekali untuk satu haricapek iya capek pakbuk kami bukan robot ;negative
 sekolah online paham aja ngga gimana pinternya;negative
sekolah online sangat tidak membantu;negative
semua juga tau offline lebih efektif daripada online semua orang pendidikan tau gak perlu dibilang dari awal ada kebijakan sekolah online juga udah tau gak efektif tapi keadaan yang begini di luar kendali ya mau gamau kemendikbud bikin kebijakan itu mari berdoa pandemi selese ;positive
sekolah online paham aja ngga gimana pinternya;negative
sebenernya sekolah online itu nggak susah yang susah itu ngertiin tugas yang dikasi sama gurunya ;negative
sekolah online dijelasin kaga dikasih tugas iya;negative
adek aku sekolah online nontonnya pakai paket kuota ya gak masalah tapi lama habisnya cepet juga ya mana pembelajarannya banyak nonton video di yortutube segala dengan durasi rata rata jam ;negative
sekolah online kadang sucks kadang kaga gatau knp kadang enak kadang kaga tergantung gurunya sih kalo enak ngajarnya subject pelajarannya enak juga;positive
bismmilahhirohmannirohim kalau uangnya sudah cukup pasti pasang wiffidan saya berjanji kalau sudah bisa terpasang akan aku gratiskan buat temen temen annakku yang kurang mampu agar tetap bisa sekolah online biar orang tuanya bisa terbantu bebannya aamiin bantu do anya kawan ku ;positive
sekolah online muluuu bosenn njir pelajaran ga masuk otak samsek ;negative
semoga kesampaian punya rumah tempat tinggal sendiri dan bisa pasang wifi yang super kenceng dan jarang problem demi sekolah belajar online nya lancar ;positive
mereka ada tanggungan juga yang mungkin tiap minggu tiap bulannya bakal dilaporin ke kepsek dll dan guru juga ga semuanya punya fasilitas lengkap apalagi guru di pedalaman gak cuma siswa kok yang beban sekolah online guru juga ;negative
rame banget ibu ribut karena sekolah daring tugas anaknya banyak jd orang tuanya yang mesti ngerjain terus marah marah karena sekolah online maksa ortu untuk belajar;negative
 media sekolah online ga efektif also media muncul cluster baru di sekolah pemerintah dianggap tidak mampu also other people pemerintah goblog mau nya apa sih ini pada herman saya masalah di puter puter mulu ih nurut kagak;negative
tbh aku setuju juga sebagai mhs pendidikan yang pernah ppl walo bentar yang namanya ngajar tuh gak gampang banyak yang perlu disiapkan ya administrasi kayak rpp media pembelajaran dll gak asal jeblak guru masuk kelas doang guru pasti juga pusing sekolah online gini ;positive
 media sekolah online ga efektif also media muncul cluster baru di sekolah pemerintah dianggap tidak mampu also other people pemerintah goblog mau nya apa sih ini pada herman saya masalah di puter puter mulu ih nurut kagak;negative
gakuat bgt sekolah online nyiksa bgt demi apapunnn benci bgt benciiiii;negative
sekolah online bikin gw pengen nangis everyday;negative
 bang anak ga sekolah tapi mall tempat wisata pd di buka belajar online banyak kendala dari sinyal sampai banyak yg ga bisa beli kuota gimana ya solusinya ;netral
 kalo lagi ngajarin anaknya sekolah online jgn di marah in mulu napah kasian aku setiap pagi denger tangisan anak kecil karena mungkin kurang paham dari apa yg di ajarin ;positive
bantu sekolah online eko patrio minta dukungan ais hingga influencer taucepattanpabatas celebrity kabarais gosip ;netral
 semenjak sekolah online aku jadi ga pernah mandi pagi lagi ;netral
;
sekolah online jalan twitter juga jalanlah harus seimbang;positive
 wkwkjadi bisa bantuin orang tua si kalo sekolah online gini v;positive
di sekolah lagi berlangsung online learning alhamdulillah koneksi kami lancar jaya tapi bnyak ortu murid yg telp ke skolah kl jaringan internet di rumahnya putus tiba tiba suamiku ngechat begini juga kami pakai indihome alhasil kenzo ga bisa ikut pelajaran di jam terakhir ;positive
sumpah bad mood bgt benci bgt sama sekolah online ;negative
 klo sekolah online tapi tempat wisata mall dll dibuka mah sama aja bodong wkwkw;netral
pak mentri nadiem markim tolong sih kegiatan belajar mengajar secara online jangan di terapkan anak kami kasihan jadinya pengen mita sekolah dan belajar tatap muka seperti biasa;negative
ku pikir ku doang yang tadi jaringan indihomenya menghilang kasian banget yang sekolah online dirumah;netral
 trus yg dikmpung sklah tutup jdnya guru yg buka kelas dirumah ada juga guru yg kerumah tp secara berkelompok sebenernya ga ada yg salah dgn sekolah online kan niatnya baik tp kondisinya yg kurang memungkinkan juga ;positive
sekolah online internet mati pulau ;netral
selsai sekolah lanjut bantuin ade kerjain tugas belom lagi ada tugas bamyak sekolah online mmg sjdjskks;negative
persetan dengan sekolah online ;negative
setuju aja sekolah jadi online tapi bayaran tetep full sedangkan kuota tetep harus beli sendiri abis dengerin bapak anak yg anak nya udh sekolah curhat ;netral
 nah bener kang ini jg kerepotan anak untuk sekolah online jadinya pake koneksi seluler ;negative
gue udah capek nangis gara gara sekolah online;negative
tahun kenapa kamu bodooh sekali hal umum kek gini aja ga tau maaf pak soalnya aku sekolah online;negative
mau nanya an nanti yang sekolah pada upacara online gitu ;netral
 kalau pas sekolah online km tidur gpp itu lebih aman drpd keluar rumah ga ada yg kontrol mau tetap belajar atau ga jg silakan ;positive
 untuk saat ini setuju sih sma isi captionnya bener bukan gak mikirin mereka yg keterbatasan ekonomi dn susah ik ;netral
 ngrebus telur disambi ndampingin jagoan sekolah online tau denger ledakan di dapur ini hasilnya ;netral
lagi sekolah online kok ya ada aja ini wifi ;netral
 woh it kalo jaringannya lancar aku pribadi segini ngga cukup sih buat sekolah online bisa hampir gb sendiri belom scroll twitter ig dll ;negative
 aku suka sekolah online;positive
jangan pindah sekolah pas sekolah online kayak sekarang sumpah pusinggg bangett ya allah cuapekk ;negative
oi saya harus cabut pasang kabel adaptornya sampe kapan ini udah hari ancur bener sinyalnya mengganggu kerja sama adek sekolah online aja ;netral
maaf tapi sebagai anak smk aku kesusahan banget sekolah online serius aku udah bego makin bego;negative
 sama wkwkwk mana adek ku juga lagi kuliah sekolah online jadi ya pada teriak semua;netral
 gue harusnya skrg masih sekolah sih soalnya desember l tapi tk gue cuma setaun langsung sd jadi kecepetan gakebayang kalo skrg masih kls sekolah online stress nya gmn ;negative
 lagi sekolah online dongg ;netral
parah bgt nih emang seringnya di jam segini yg mana orang lagi wfh kulon sekolah online ;netral
 misal online ya monggoh kalo suruh ke sekolah ya boleh aja asal jaga jarak perwakilan juga mungkin bisa ;netral
kalian udah pada selesai belum sekolah online nya ;netral
 ya allah bu saya ga ngerti sama pelajaran yang ibu ajarkan selama sekolah online saya gak ngerti saya gak paham saya juga ga ngerjain soal karna ga paham;negative
 pantesann tadi lagi sekolah online ;netral
hei hei saya lg sekolah online ini tolong dong jgn macem dulu;netral
 klo sekolah online udah mulai tapi offline belom ada info ;netral
berkat sekolah online alhamdulilah bolpoin gue gak hilang terus belajardarirumah;positive
semangat sekolah online nyaaa ;positive
 pas bgt anak sekolah online kang bayar mah tetep ga boleh lewat tanggal;netral
 isi galeriku semenjak sekolah online ss an tugas skolah foto iqbaal foto sendiri aib temen;netral
sebenernya pingin bgt kuliah offline lagi tapi abis tau berita yg grgr sekolah offline lgsg banyak anak anak yg positif jadi lebih legowo buat nerima kalo bakal kuliah online lagi semoga ja cepat kelar ni pandemi ;positive
kakak yg pusing ngerjain pr adiknya sama aja kakaknya yg gantiin sekolah online ;negative
 celine ya nih atau yori yang lagi sekolah online pasti nih adminnya ;netral
 sebenernya sekolah online tuh enak kalo gurunya ngejelasin materi detail kayak sekolah offline dan gak banyak tugas ini masalahnya guru tuh cuma ngasih materi dlm bentuk pdf ppt video dari yortutube trs abisitu ngasih tugas aja tanpa ngejelasin apapun;negative
 sama barusan jg ga ada koneksi tp indikator ijo semua bukan los merah setengah jam kemudian baru ada koneksi lagi padahal anak lagi sekolah online terpaksa tethering kuota aing jebol dipake google meets ;netral
banyak banget nasihat dan nilai yang bapak pamongku ucap hari ini rasanya nyaman dan seneng banget beliau orang baik yang selalu mikir dan gamau muridnya merasa terbebani karena sekolah online yang penting materi tersampaikan presensi jalan dan enjoy chill bgt yaampoon;positive
bolos sekolah online demi packing orderan ;netral
 sehabis sekolah online;netral
 ndiem ni sebelon jd mentri usaha di ojol ngembangin ojol sampe jd raksasa di negri ini masa ia gak bisa cari solusi buat sekolah online;negative
ngrebus telur disambi ndampingin jagoan sekolah online tau denger ledakan di dapur ini hasilnya ;netral
kalau sekolah online diceritain ke anak cucu mungkin mereka bakal ngira sekolah online itu keren terus enak kali ya ;netral
 enggak tp mendung kamu ada sekolah online kah dek semangat ;netral
 dede apa tidak sekolah online ;netral
 tolongggggg dikondisikan kalau mau gangguan jgn jam anak lagi online school mana lagi spelling test mati inetnya ank sy gak dinilai jadinya pak ini pak penyakitnya kalo sekolah online tgg jwb ;negative
pernah ngerasain sekolah online belom si ;netral
drama pagi ini nemenin ponaan kelas sd sekolah online nemenin red ngajarin ngarahin ngerjain tugas aselik drama banget ini baru sehari doang;netral
 justru mungkin ini taktik indihome supaya banyak yang beli pulsa buat dapet kuotaapalagi kan jam segini lagi pada sekolah online;netral
 padahal maksud si mas yg pidato ini ngritik sistem kalo sekolah online dipermanenkan itu banyak faktor dan kendala dari segi penerimaan ilmu dan praktiknya hmm ;negative
ini indihome dirumah kenapa ya kasian yang lagi pada sekolah online dirumah ;netral
u bayangin nyokap gw datang ke rumah muridnya yg gabisa ikut kelas online buat ngajar kondisi muridnya kaya gini banget dimana orang tuanya ni anak gak dimandiin dulu gitu dipakein baju rapi kek mau ketemu gurunya walau di rumah kan sekolah ;netral
 enak ga sekolah online ;netral
sekolah online tp sering mati lampu xixixi;netral
sekolah offline ke notice makan sekolah online ke notice manggil sayang ;netral
 enak bin gak pusing mikirin kalo kuota abisss aku lagi berusaha ngebujuk ayah ku buat pake wifi lagi karna pas semua lagi sekolah online biar gak pusing klo anaknya minta kuota ;netral
 gangguan koneksi lagi tolong segera diatasi saya sedang rapat anak saya sedang sekolah online jadi ambyar semua ;netral
 kata guru ku tergantung sekolahnya kalo sekolah ku masih online gak mau resiko dulu;netral
iya tapi jangan pagi juga lagi sekolah online ;netral
admin tolong ini knp si internet kasian adek saya lagi sekolah online ;netral
indihome lagi gangguan masal nih tetap semangat bagi anak yg lagi sekolah online ;netral
sekolah online jadi terganggu karena jaringan internet juga terganggu alias matot mati total internet indihome telkomsel interneterror;netral
anjrit lgi sekolah online dapet ni notif kaget ;netral
min cek dm ya adek saya marah marah di rumah wifi gabisa dipake lg sekolah online masalahnya dirumah lg ga ada orang jd gabisa tetring hufht ;netral
bisnis sambil sekolah kuliah atau ngantor bisa kok jadi online shop prodak kami pin bb d bc c wa ;netral
gwe yang sekolah tatap muka aja gblk apa lagi online pinter kaga boros kuota mah iya ;negative
 akhir akhir ini nggak semangat lagi buat sekolah online ;negative
 indihome lagi gangguan nih lagi rame nya anak sekolah online;netral
 indihome kenapa ya kok gak konek indikator ijao semua wfh sekolah online plis indi indi konek dong;netral
 min sudah selesai belum ya pemulihan internet nya adek saya perlu buat sekolah online cek dm saya sudah kirim no pelanggan nya tks;netral
 min wifinya ga bisa mau sekolah online ini lewat zoom wifi malah ga bisa;netral
setiap kebijakan hendaklah dipikirkan resikonya dr segala aspek inilah salah satu resiko belajar online yg harus benar ada solusinya sistem sekolah terbuka bs jd acuan sekolah drmh mnggunakan modul ajak tim bimbel trnama utk mmbuat modul brmutu anak kesekolah hny utk tes ;positive
akhir akhir ini nggak semangat lagi buat sekolah online ;negative
lelah sekolah online semangat ngejar kamu ;negative
 analisis dengan drone emprit perihal sekolah online dan pendidikan jarak jauh dibuat dalam tulisan saya di medium dengan ;netral
indihome kenapa sih minggu ini udh gue tlp x trs teknisinya udh dateng skrg tbtb gabisa lagiiii hhh adek saya pada sekolah online jadi susaah;netral
penyakit sekolah online banyak bolos padahal telat absen terosss ;netral
tapi dah abis dimam adek padahal dah kubilangin rada asin kalo ndak suka jan dimam ya taunya tep dikunyah aja sambil dia sekolah online huhu;netral
 bandung mau pulsa buat sekolah online;positive
pppppp sy lg sekolah online ueueueueueu terus lemot wifi na ;netral
cocok untuk dipakai kerja sekolah sampai kuliah baik online maupun offline recomended untuk kalian yang hobi desain grafis suppo software photoshop suppo software lightroom suppo software corel draw;netral
 iyaa semenjak sekolah online jadinya aku yang stress ;negative
indihome gabisa twitter an bisa ga ada alasan hey kamu yang sekolah online o ;netral
di saat wfh dan sekolah online tapi down error hadehhh improvement mana improvement;netral
 pjj tidak selalu melulu online dengan online pun pasti banyak keterbatasan sekarang tinggal bagaimana sekolah menerapkan kebijakan dan guru melaksanakan kebijakan tersebut dengan baik;netral
 tolong respon nya adek gua mau sekolah online ini kaga bisa woyyyy;netral
 tolong respon nya adek gua mau sekolah online ini kaga bisa woyyyy;netral
 mati saat jam kerja jam sekolah online di bekasi ada permasalahan apa ;netral
ku senang kalo hujan bocahbocah ga ada yg main di halaman sebelah jd bisa lanjut kerja dengan tenang plislah ini pada kaga balik ke jawa apa bocah tiap pagi ampe sore berisik bgt apa ga ada sekolah online apa gmn sih ;netral
selama sekolah online di galeri gw tugas semua ;netral
 aku tuh kasian sama adek adekku soalnya kan jam segini pada sekolah online kasihan klo terganggu;netral
sterilisasi rumah belajar online lpbi nu bangil sebelum siswa setingkat sd mi menggunakan fasilitas gratis wifi smaphone laptop apd untuk mengikuti pelajaran dari sekolah masing masing nu peduli covid santri siaga bencana adaptasi tatanan baru ;positive
 nah iya padahal orangtua juga kesibukannya bukan cuma ngekontrol anak anaknya sekolah online ;netral
sekolah online streaming nge twit ;netral
 kayanya itu yg protes online school itu yg ga punya akses deh vin kayak mereka mungkin gak punya gadget dan biaya untuk beli internet sementara di sisi lain ada pressure untuk ikutan sekolah dan mereka pun juga mungkin masih pengen sekolah sebenernya ;netral
wifi dirumah tiba tiba mati lagi nonton drama korea kirain aku aja yang alami bagi pengguna layanan sabar guys yang lagi wfh dan adik adik sekolah online para penonton drama korea pasti diperbaiki indihome sampai trending ;netral
indihome kenapa lemot iniii sekolah online bossss;netral
sekolah itu membosankan iya itulah yang dipikirkan pria bersurai jabrik sekarang ia berniat membolos untuk bermain game online saat sedang menyelinap ingin memanjat pagar belakang sekolah bs berpas pasan dengan seorang perempuan eh mau cabut sekolah juga ;negative
 to aku from aku semangat sekolah online untuk hari ini yaaa;positive
gue pikir didaerah rumah gue doang yang eror eh se indonesia ternyata gimana nih anda gak mendukung kebijakan pemerintah buat wfh sama sekolah online apa ya ;netral
 lu kali internet cuma buat donlot bokep disini mah dipake buat kerja anak tetangga pada numpang buat sekolah online wajarlah kalo dipeanyakan dalam kondisi gini udah bayar mahal lagi ;netral
 selamat siang internet di rumah saya pagi ini mati adek saya yang sedang sekolah online marah marah akibat internet rumah mati call center juga tidak bisa dihubungi terima kasih;netral
 pas awal online class aku selalu mandi pake seragam lengkap kaya mau sekolah beneran lama lama jadi males bangkit dari kasur aja enggak;netral
gue terlalu males buat sekolah offline tp terlalu goblok buat sekolah online;netral
 aaaa iya bnrr ttp semangatt yaa sekolah online nyaa ;positive
lika liku sekolah online pake kuota boross pake wifi trortuble;negative
ngakak pengguna indihome di sekolah gua pada afk kelas online gegara bermasalah;netral
 gercep ade gua sekola smk mau sekolah online nih;netral
tadinya pilih sekolah online tapi sekarang ayo dong sekolah offline aja butuh uang jajan biar bisa nabung;negative
 bener banget sekolah online bikin miskin ;negative
udah bayar nih demi adek adekku sekolah online harus bener itu wifi;netral
 ppppppp punten kasian ini adik yg lagi sekolah online ;netral
ini bocahbocah apa kaga mau balik ke rumahnya lagi apa gmn sih kok masih stay di rumah bude gue mau kerja tiap jam segini sampe sore mesti pake headset dg volume full biar ga keberisikan ini pada kaga ada sekolah online apa gmn sih tiap jam berisik bgt;netral
please deh indohom saya lagi sekolah online ;netral
 selamat pagi mimin mau tanya kok listrik di wilayah toroh padam terus jam seginian ada apa ya min dari kemarin sekolah kami sedang pembelajaran online alamatnya di jalan proklamasi no sindurejo toroh;netral
 tolong dong inet jgn mati mati mulu lg sekolah online ini teh;netral
hello indihome padahal adekku lagi sekolah online loh ;netral
waw butuh bulan buat disiplin nyetor tugas sekolah maisa ke miss nya dulu awal sekolah online sampe miss nya bingung mo nulis apa di rapot karena ibunya ga pernah nyetor tugas ;netral
 min udah di resta bbrp kali tetep ga ada koneksinya ya tolong perbaiki dong min adek saya lg sekolah online jd keganggu;netral
halo selamat pagi mohon untuk segera menangani keluhan dari gangguan wifi indihome dikarenakan banyak siswa yang sedang menjalani sekolah online mengalami kendala dan dapat menimbulkan miskomunikasi dengan guru pengampu terima kasih ;netral
selamat adek yg lg sekolah online tp pake inditot anda dapet bonus bolos kelas ;netral
 ya allah gaenak bgt lagi sekolah online gini errornya ;netral
yesss bandung blm sekolah offline wakakak sebenernya capek jg sekolah online tp kalo kondisinya kaya gini mending ttp online lagian jg enak rebahan yaallah ;positive
 sekolah online gaa ;netral
 sama padahal lagi sekolah online ;netral
asik asik nonton netflix sambil sekolah online tiba tiba indihome mati ;netral
dear bagaimana ini gangguan masal jam segini anak saya sdg sekolah online jdi terganggu please be nice yaaa ;netral
 wkwkwkwkw gw lagi sekolah online gurunya disconnect;netral
 jateng juga lagi sekolah online nih hadeh;negative
selama sekolah online mksutna;netral
alhamdulillah narogong dsk hujan pas sekolah online anak anak beres karena langsung yassinan buat koneksi indihom yang meninggal kalo hujan ;netral
udah sekarat adek minta hotspot buat sekolah online gegara indihome matek ;netral
 kesel banget lagi sekolah online ;negative
 iya baru tau astaga indihome tadi mati padahal lagi sekolah online ;netral
cape sekolah online takut sekolah offline;negative
bukan indihom kalo ga bikin customernya kesel dirumah ada yg sekolah online loh iniiiiii ;netral
 gimana tanggapan kalian tentang work from home dan sekolah online semoga wabah covid ini segera allah angkat dan kita bisa beraktivitas seperti biasa di luar rumah ya jangan lupa bersyukur vote now via askfm see results ;positive
kasian banget ibuibu pekerja yang punya anak anaknya sekolah online bingung dampinginnya karena harus kerja ;netral
masalahnya itu guru gw klo sekolah online kaga ngasih penjelasan kirim tugas di grup or classroom trus cabut off deh tu guru;negative
 hhh tau gak ini tuh lagi sekolah online tau trus indihome ;netral
yaampun perjuangan bener sekolah online ini;negative
 ini dah kedua kalinya error pas sekolah online ;netral
 tlg dong klo mau mati jaringan tau waktujgn pas lagi sekolah online kea gini menyusahkan orang yg lg diburu deadline hadeuh;netral
 yang sekolah sama kuliah online harap resta modemnya akwakkwwkak;netral
